uri,concurrency,requests,qps,tpr,t_90
/param/30?param=optimize,500,30000,27845.25,17.956,3
/param/30?param=optimize,500,30000,21094.54,23.703,4
/param/30?param=optimize,500,30000,25234.02,19.815,5
/param/30?param=optimize,500,30000,27757.83,18.013,3
/param/30?param=optimize,500,30000,24299.49,20.577,4
/param/30?param=optimize,500,30000,27004.26,18.516,4
/param/30?param=optimize,500,30000,26353.56,18.973,4
/param/30?param=optimize,500,30000,26338.2,18.984,4
uri,concurrency,requests,qps,tpr,t_90
/param/50?param=optimize,500,30000,8602.54,58.122,34
/param/50?param=optimize,500,30000,10661.59,46.897,9
/param/50?param=optimize,500,30000,13739.76,36.391,6
/param/50?param=optimize,500,30000,20294.69,24.637,5
/param/50?param=optimize,500,30000,25079.94,19.936,4
/param/50?param=optimize,500,30000,26708.55,18.721,4
/param/50?param=optimize,500,30000,23981.43,20.849,4
/param/50?param=optimize,500,30000,25250.93,19.801,4
/param/50?param=optimize,500,30000,28354.74,17.634,4
/param/50?param=optimize,500,30000,29093.36,17.186,4
/param/50?param=optimize,500,30000,29859.96,16.745,4
/param/50?param=optimize,500,30000,18171.17,27.516,3
/param/50?param=optimize,500,30000,26398.95,18.94,3
/param/50?param=optimize,500,30000,28146.13,17.764,4
/param/50?param=optimize,500,30000,30062.26,16.632,3
/param/50?param=optimize,500,30000,30086.8,16.619,3
/param/50?param=optimize,500,30000,25290.99,19.77,4
/param/50?param=optimize,500,30000,26438.94,18.912,4
/param/50?param=optimize,500,30000,25438.28,19.655,4
/param/50?param=optimize,500,30000,26253.04,19.045,4
uri,concurrency,requests,qps,tpr,t_90
/param/100?param=optimize,500,30000,6972.74,71.708,18
/param/100?param=optimize,500,30000,13294.4,37.61,7
/param/100?param=optimize,500,30000,24696.01,20.246,4
/param/100?param=optimize,500,30000,27625.0,18.1,3
/param/100?param=optimize,500,30000,24254.6,20.615,4
/param/100?param=optimize,500,30000,27822.37,17.971,4
/param/100?param=optimize,500,30000,26640.31,18.769,3
/param/100?param=optimize,500,30000,25779.93,19.395,4
/param/100?param=optimize,500,30000,26924.01,18.571,4
/param/100?param=optimize,500,30000,26654.32,18.759,5
/param/100?param=optimize,500,30000,18159.22,27.534,3
/param/100?param=optimize,500,30000,26537.02,18.842,3
/param/100?param=optimize,500,30000,26751.44,18.691,4
/param/100?param=optimize,500,30000,26919.01,18.574,4
/param/100?param=optimize,500,30000,23666.34,21.127,4
/param/100?param=optimize,500,30000,27065.99,18.473,3
/param/100?param=optimize,500,30000,25973.01,19.251,4
/param/100?param=optimize,500,30000,24824.39,20.141,4
/param/100?param=optimize,500,30000,27838.97,17.96,4
/param/100?param=optimize,500,30000,27151.11,18.415,4
uri,concurrency,requests,qps,tpr,t_90
/param/200?param=optimize,500,30000,9446.95,52.927,25
/param/200?param=optimize,500,30000,14061.72,35.558,6
/param/200?param=optimize,500,30000,16399.86,30.488,5
/param/200?param=optimize,500,30000,24262.17,20.608,4
/param/200?param=optimize,500,30000,24307.24,20.57,4
/param/200?param=optimize,500,30000,24411.64,20.482,4
/param/200?param=optimize,500,30000,20986.7,23.825,4
/param/200?param=optimize,500,30000,26228.04,19.064,4
/param/200?param=optimize,500,30000,24416.92,20.478,4
/param/200?param=optimize,500,30000,24456.63,20.444,4
/param/200?param=optimize,500,30000,28442.81,17.579,4
/param/200?param=optimize,500,30000,30246.3,16.531,4
/param/200?param=optimize,500,30000,30582.07,16.349,4
/param/200?param=optimize,500,30000,31834.39,15.706,3
/param/200?param=optimize,500,30000,27536.07,18.158,3
/param/200?param=optimize,500,30000,26289.43,19.019,4
/param/200?param=optimize,500,30000,24236.29,20.63,4
/param/200?param=optimize,500,30000,26188.61,19.092,4
/param/200?param=optimize,500,30000,27180.78,18.395,3
/param/200?param=optimize,500,30000,25318.7,19.748,4
uri,concurrency,requests,qps,tpr,t_90
